City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,52.18,clear sky,-33.5906,26.891,The Halyards Hotel
1,Severo-Kurilsk,RU,53.94,overcast clouds,50.6789,156.125,Kak Doma
2,Mar Del Plata,AR,55.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
3,Lasa,IT,61.36,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
4,Mataura,NZ,46.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
5,Rikitea,PF,75.61,broken clouds,-23.1203,-134.9692,People ThankYou
6,Saint-Philippe,RE,65.21,light rain,-21.3585,55.7679,Le four à pain
7,Lebu,CL,53.58,broken clouds,-37.6167,-73.65,Hostal Las Lilas
8,Yellowknife,CA,72.12,scattered clouds,62.456,-114.3525,The Explorer Hotel
9,Saint George,US,72.19,light rain,37.1041,-113.5841,Best Western Plus Abbey Inn
10,Jamestown,US,69.06,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Ushuaia,AR,33.46,scattered clouds,-54.8,-68.3,Albatross Hotel
12,Punta Arenas,CL,32.11,clear sky,-53.15,-70.9167,Hotel Hain
13,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Butaritari,KI,82.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
15,Esperance,AU,51.84,broken clouds,-33.8667,121.9,Hospitality Esperance
16,Morondava,MG,70.07,scattered clouds,-20.2833,44.2833,La Case Bambou
17,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
18,Bom Jesus,BR,75.02,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
19,Saint-Joseph,RE,64.2,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
20,Hilo,US,89.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
21,Dabakala,CI,71.02,scattered clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
23,Kalevala,RU,58.21,overcast clouds,65.2,31.1667,Hotel on Sadovaya 2
24,Savannah Bight,HN,82.72,broken clouds,16.45,-85.85,Villa on Dunbar Rock
25,Barrow,US,37.42,mist,71.2906,-156.7887,King Eider Inn
26,Ambilobe,MG,64.17,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
27,Watsa,CD,64.96,light rain,3.0372,29.5355,Hôtel Le Pacifique
28,Erdaojiang,CN,74.46,broken clouds,41.7764,126.0319,Tonggang Hotel
29,Raynham,US,80.49,mist,41.9487,-71.0731,Clarion Hotel and Conference Center Taunton Foxboro
31,Hobart,AU,55.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
32,Paita,PE,64.11,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
33,Sao Filipe,CV,78.33,overcast clouds,14.8961,-24.4956,Hotel Xaguate
34,Ilulissat,GL,38.61,overcast clouds,69.2167,-51.1,Hotel Arctic
35,Nanortalik,GL,42.75,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
37,Jalu,LY,83.79,clear sky,29.0331,21.5482,صاحبة الفخامة
38,Bluff,NZ,46.8,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
39,Ribeira Grande,PT,74.84,few clouds,38.5167,-28.7,Quinta da Meia Eira
40,Busselton,AU,60.85,light rain,-33.65,115.3333,Observatory Guest House
41,Moron,AR,61.97,overcast clouds,-34.6534,-58.6198,Hotel Morón
42,Miles City,US,87.49,broken clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
43,Hervey Bay,AU,66.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
44,Cape Town,ZA,59.38,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
45,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
46,Illapel,CL,52.12,overcast clouds,-31.6308,-71.1653,Hotel Londres
47,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Manokwari,ID,80.8,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
49,Ottersberg,DE,66.09,broken clouds,53.1,9.15,Bahnhof (e.V.) - Initiative für neues Wohnen
50,Nantucket,US,79.0,overcast clouds,41.2835,-70.0995,Jared Coffin House
51,New Norfolk,AU,54.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
52,Tuktoyaktuk,CA,60.8,scattered clouds,69.4541,-133.0374,End of The Road Ltd.
53,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
55,Lumphat,KH,75.02,broken clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
56,Mocajuba,BR,78.58,light rain,-2.5842,-49.5072,Hotel Saylon Mocajuba
57,Oytal,KZ,74.8,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
58,Torbay,CA,69.76,overcast clouds,47.6666,-52.7314,Gallows Cove
61,Hermanus,ZA,49.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
62,Enumclaw,US,90.16,clear sky,47.2043,-121.9915,Cedars Inn
64,Saldanha,ZA,51.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
65,Kovdor,RU,52.81,overcast clouds,67.5662,30.4758,Derevo Zhelaniy
66,Klaksvik,FO,47.32,broken clouds,62.2266,-6.589,Airbnb rooms
68,Dawei,MM,78.13,scattered clouds,14.0833,98.2,Hotel Dawei
69,Faya,SA,64.92,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
70,Wasilla,US,69.94,overcast clouds,61.5814,-149.4394,Alaska's Select Inn Wasilla
72,Sambava,MG,68.9,light rain,-14.2667,50.1667,Melrose
73,Nyurba,RU,77.97,few clouds,63.2842,118.3319,"Гостиница ""Comfort"""
74,Deutsch-Wagram,AT,78.26,broken clouds,48.3032,16.5582,Landhaus Böckl Gästezimmer
75,Avarua,CK,69.85,light rain,-21.2078,-159.775,Paradise Inn
76,Naisud,PH,78.13,overcast clouds,11.8058,122.1939,ALTUQUERO
77,Hasaki,JP,79.2,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
78,Kununurra,AU,67.98,clear sky,-15.7667,128.7333,Hotel Kununurra
79,Inongo,CD,68.16,overcast clouds,-1.95,18.2667,Hotel Du Lac
80,San Ramon,US,87.58,clear sky,37.7799,-121.978,San Ramon Marriott
81,Port Lincoln,AU,56.57,few clouds,-34.7333,135.8667,Port Lincoln Hotel
82,Panama City,PA,79.29,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
83,Qaqortoq,GL,43.3,light rain,60.7167,-46.0333,Siniffik Inn
84,Norman Wells,CA,78.84,few clouds,65.282,-126.8329,Heritage Hotel
85,Santiago,CL,53.85,broken clouds,-33.4569,-70.6483,Hotel Panamericano
86,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
87,Bereda,ES,59.58,few clouds,43.2686,-7.5406,Pazo de Verdes
88,Inirida,CO,73.69,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
89,Am Timan,TD,71.67,heavy intensity rain,11.0297,20.2827,Palais du chef Canton Salamt
91,Dunedin,NZ,45.5,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
92,Kipushi,CD,55.4,clear sky,-11.7667,27.2333,Villa Madimba
93,Narsaq,GL,45.09,overcast clouds,60.9167,-46.05,Sleep In Narsaq
95,Paamiut,GL,43.99,overcast clouds,61.994,-49.6678,Pistut
96,Bubaque,GW,78.22,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
97,East London,ZA,55.44,clear sky,-33.0153,27.9116,Tu Casa
98,Florida Ridge,US,85.98,broken clouds,27.5803,-80.3867,Econo Lodge Vero Beach - Downtown
99,Rongcheng,CN,84.74,broken clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
100,Kenai,US,64.02,broken clouds,60.5544,-151.2583,Aspen Extended Stay Suites
101,Cap Malheureux,MU,66.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
102,Udachnyy,RU,71.46,broken clouds,66.4167,112.4,Severnoye Siyaniye
103,Thompson,CA,62.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
104,Shelburne,CA,66.65,few clouds,44.0787,-80.2041,The Retreat at the Farm
105,Igarka,RU,54.68,scattered clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
106,Pevek,RU,37.96,overcast clouds,69.7008,170.3133,Severnoye Zoloto
107,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
