City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,52.18,82,0,1.01,clear sky
1,Severo-Kurilsk,RU,50.6789,156.125,53.94,82,90,10.16,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,55.09,95,100,15.01,light rain
3,Lasa,IT,46.6166,10.7002,61.36,95,86,2.42,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,46.47,96,100,10.78,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,75.61,73,72,14.16,broken clouds
6,Saint-Philippe,RE,-21.3585,55.7679,65.21,81,32,9.78,light rain
7,Lebu,CL,-37.6167,-73.65,53.58,85,80,25.28,broken clouds
8,Yellowknife,CA,62.456,-114.3525,72.12,37,40,16.11,scattered clouds
9,Saint George,US,37.1041,-113.5841,72.19,83,75,6.91,light rain
10,Jamestown,US,42.097,-79.2353,69.06,62,23,1.99,few clouds
11,Ushuaia,AR,-54.8,-68.3,33.46,80,40,25.32,scattered clouds
12,Punta Arenas,CL,-53.15,-70.9167,32.11,69,0,11.5,clear sky
13,Kapaa,US,22.0752,-159.319,84.18,66,10,5.01,clear sky
14,Butaritari,KI,3.0707,172.7902,82.72,69,97,17.49,overcast clouds
15,Esperance,AU,-33.8667,121.9,51.84,57,51,19.62,broken clouds
16,Morondava,MG,-20.2833,44.2833,70.07,72,44,11.59,scattered clouds
17,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
18,Bom Jesus,BR,-9.0744,-44.3586,75.02,42,97,4.65,overcast clouds
19,Saint-Joseph,RE,-21.3667,55.6167,64.2,79,33,7.99,scattered clouds
20,Hilo,US,19.7297,-155.09,89.28,90,42,3.0,scattered clouds
21,Dabakala,CI,8.3667,-4.4333,71.02,89,41,3.56,scattered clouds
22,Dikson,RU,73.5069,80.5464,44.94,91,99,23.78,overcast clouds
23,Kalevala,RU,65.2,31.1667,58.21,75,96,5.64,overcast clouds
24,Savannah Bight,HN,16.45,-85.85,82.72,78,80,14.41,broken clouds
25,Barrow,US,71.2906,-156.7887,37.42,87,100,31.07,mist
26,Ambilobe,MG,-13.2,49.05,64.17,91,6,2.89,clear sky
27,Watsa,CD,3.0372,29.5355,64.96,97,99,2.51,light rain
28,Erdaojiang,CN,41.7764,126.0319,74.46,86,60,2.06,broken clouds
29,Raynham,US,41.9487,-71.0731,80.49,86,100,10.36,mist
30,Teguldet,RU,57.3064,88.1667,52.34,95,9,2.26,clear sky
31,Hobart,AU,-42.8794,147.3294,55.26,96,75,3.44,broken clouds
32,Paita,PE,-5.0892,-81.1144,64.11,89,30,15.05,scattered clouds
33,Sao Filipe,CV,14.8961,-24.4956,78.33,89,100,5.55,overcast clouds
34,Ilulissat,GL,69.2167,-51.1,38.61,94,100,2.44,overcast clouds
35,Nanortalik,GL,60.1432,-45.2371,42.75,96,100,7.29,overcast clouds
36,Beloha,MG,-25.1667,45.05,62.51,90,17,4.97,few clouds
37,Jalu,LY,29.0331,21.5482,83.79,22,0,11.63,clear sky
38,Bluff,NZ,-46.6,168.3333,46.8,90,100,26.84,light rain
39,Ribeira Grande,PT,38.5167,-28.7,74.84,88,15,5.19,few clouds
40,Busselton,AU,-33.65,115.3333,60.85,78,80,19.22,light rain
41,Moron,AR,-34.6534,-58.6198,61.97,99,100,8.01,overcast clouds
42,Miles City,US,46.4083,-105.8406,87.49,29,69,7.58,broken clouds
43,Hervey Bay,AU,-25.2986,152.8535,66.02,86,0,4.0,clear sky
44,Cape Town,ZA,-33.9258,18.4232,59.38,71,0,4.0,clear sky
45,Wajima,JP,37.4,136.9,81.28,83,75,1.14,broken clouds
46,Illapel,CL,-31.6308,-71.1653,52.12,88,100,1.9,overcast clouds
47,Mahebourg,MU,-20.4081,57.7,68.29,88,40,10.36,scattered clouds
48,Manokwari,ID,-0.8667,134.0833,80.8,78,92,6.08,light rain
49,Ottersberg,DE,53.1,9.15,66.09,74,64,9.4,broken clouds
50,Nantucket,US,41.2835,-70.0995,79.0,92,95,29.97,overcast clouds
51,New Norfolk,AU,-42.7826,147.0587,54.91,87,98,1.01,overcast clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,72,40,16.11,scattered clouds
53,Isangel,VU,-19.55,169.2667,77.11,94,100,9.22,overcast clouds
54,Myaundzha,RU,63.0494,147.1858,68.95,39,24,4.99,few clouds
55,Lumphat,KH,13.4878,106.9816,75.02,96,79,1.66,broken clouds
56,Mocajuba,BR,-2.5842,-49.5072,78.58,68,70,1.74,light rain
57,Oytal,KZ,42.9057,73.2697,74.8,29,0,3.11,clear sky
58,Torbay,CA,47.6666,-52.7314,69.76,92,100,21.85,overcast clouds
59,Albany,US,42.6001,-73.9662,76.89,61,43,10.96,scattered clouds
60,Poum,NC,-20.2333,164.0167,73.81,69,0,11.99,clear sky
61,Hermanus,ZA,-34.4187,19.2345,49.8,54,0,8.41,clear sky
62,Enumclaw,US,47.2043,-121.9915,90.16,42,8,1.99,clear sky
63,Chara,RU,56.9064,118.2631,73.27,58,5,3.98,clear sky
64,Saldanha,ZA,-33.0117,17.9442,51.85,52,1,8.5,clear sky
65,Kovdor,RU,67.5662,30.4758,52.81,91,98,4.34,overcast clouds
66,Klaksvik,FO,62.2266,-6.589,47.32,84,53,11.59,broken clouds
67,Beringovskiy,RU,63.05,179.3167,44.51,83,100,3.29,light rain
68,Dawei,MM,14.0833,98.2,78.13,89,39,2.26,scattered clouds
69,Faya,SA,18.3851,42.4509,64.92,56,100,6.15,overcast clouds
