City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Maku,IR,2022-07-25 23:20:22,39.2911,44.4521,65.7,61,0,3.15
1,Tanout,NE,2022-07-25 23:20:22,14.9709,8.8879,93.56,18,7,6.62
2,Chulumani,BO,2022-07-25 23:20:22,-16.4096,-67.5263,63.7,88,66,2.01
3,San Angelo,US,2022-07-25 23:20:23,31.4638,-100.437,102.11,19,0,11.5
4,Belmonte,BR,2022-07-25 23:17:25,-15.8631,-38.8828,71.44,80,54,8.61
5,Pochutla,MX,2022-07-25 23:20:23,15.7432,-96.4661,86.83,73,89,3.91
6,Bredasdorp,ZA,2022-07-25 23:20:23,-34.5322,20.0403,47.01,73,0,4.47
7,Barrow,US,2022-07-25 23:20:24,71.2906,-156.7887,37.42,87,100,31.07
8,Mpika,ZM,2022-07-25 23:20:24,-11.8343,31.4529,57.49,68,56,10.18
9,Kodiak,US,2022-07-25 23:20:24,57.79,-152.4072,63.91,55,100,9.22
10,Muisne,EC,2022-07-25 23:20:25,0.6,-80.0333,73.58,83,95,10.25
11,Mataura,NZ,2022-07-25 23:20:25,-46.1927,168.8643,45.48,97,100,10.78
12,Albany,US,2022-07-25 23:19:45,42.6001,-73.9662,79.45,59,27,1.01
13,Hilo,US,2022-07-25 23:20:26,19.7297,-155.09,90.28,78,75,9.22
14,Banikoara,BJ,2022-07-25 23:20:26,11.2985,2.4386,75.27,86,96,7.0
15,Humboldt,US,2022-07-25 23:20:26,40.6665,-123.9178,65.12,36,5,6.67
16,Norilsk,RU,2022-07-25 23:20:26,69.3535,88.2027,54.43,82,90,5.32
17,Souillac,MU,2022-07-25 23:20:27,-20.5167,57.5167,68.38,88,40,10.36
18,Busselton,AU,2022-07-25 23:20:27,-33.65,115.3333,61.09,80,90,20.07
19,Kashi,CN,2022-07-25 23:20:27,39.4547,75.9797,83.41,21,0,6.71
20,Morant Bay,JM,2022-07-25 23:20:28,17.8815,-76.4093,83.82,79,31,11.54
21,Chumikan,RU,2022-07-25 23:20:28,54.7183,135.315,55.47,88,99,4.72
22,Fairview,US,2022-07-25 23:20:28,40.8126,-73.999,89.22,61,0,16.11
23,Groningen,NL,2022-07-25 23:19:07,53.25,6.75,66.13,85,27,9.22
24,Castro,BR,2022-07-25 23:17:10,-24.7911,-50.0119,60.37,72,94,2.33
25,Nusaybin,TR,2022-07-25 23:20:29,37.0778,41.2178,84.72,18,0,7.31
26,Pangai,TO,2022-07-25 23:20:29,-19.8,-174.35,80.71,61,20,14.97
27,Ponta Do Sol,PT,2022-07-25 23:20:29,32.6667,-17.1,84.83,59,56,3.71
28,Avarua,CK,2022-07-25 23:20:30,-21.2078,-159.775,71.65,64,75,5.75
29,Iqaluit,CA,2022-07-25 23:20:30,63.7506,-68.5145,47.93,81,20,10.36
30,Atar,MR,2022-07-25 23:20:30,20.5169,-13.0499,93.11,40,98,9.78
31,Suez,EG,2022-07-25 23:20:31,29.9737,32.5263,78.48,56,0,9.64
32,Bambous Virieux,MU,2022-07-25 23:20:31,-20.3428,57.7575,68.25,88,40,10.36
33,Chokurdakh,RU,2022-07-25 23:20:31,70.6333,147.9167,56.39,44,100,14.29
34,Nioaque,BR,2022-07-25 23:20:32,-21.1353,-55.83,78.21,32,2,3.89
35,Sao Filipe,CV,2022-07-25 23:20:32,14.8961,-24.4956,78.55,89,89,3.44
36,Jamestown,US,2022-07-25 23:16:25,42.097,-79.2353,71.19,55,34,4.0
37,Thompson,CA,2022-07-25 23:20:32,55.7435,-97.8558,60.96,94,75,4.61
38,California City,US,2022-07-25 23:20:32,35.1258,-117.9859,100.85,12,40,1.99
39,Ixtapa,MX,2022-07-25 23:20:33,20.7,-105.2,85.23,70,75,11.5
40,Hobart,AU,2022-07-25 23:19:33,-42.8794,147.3294,53.26,96,75,0.0
41,Mizdah,LY,2022-07-25 23:20:33,31.4451,12.9801,75.0,35,0,6.2
42,Lumding,IN,2022-07-25 23:20:33,25.7535,93.1732,74.52,98,99,0.81
43,Carnarvon,AU,2022-07-25 23:20:34,-24.8667,113.6333,60.33,41,0,9.13
44,El Alto,PE,2022-07-25 23:20:34,-4.2714,-81.2147,65.86,81,20,20.78
45,Alofi,NU,2022-07-25 23:20:34,-19.0595,-169.9187,76.89,57,75,13.8
46,Cape Town,ZA,2022-07-25 23:20:03,-33.9258,18.4232,59.38,73,0,4.0
47,Faanui,PF,2022-07-25 23:20:35,-16.4833,-151.75,76.23,81,33,9.69
48,Rikitea,PF,2022-07-25 23:21:35,-23.1203,-134.9692,75.7,72,68,15.66
49,Lebu,CL,2022-07-25 23:21:35,-37.6167,-73.65,53.51,85,90,24.16
50,Esmeraldas,BR,2022-07-25 23:21:36,-19.7625,-44.3139,68.86,50,0,6.49
51,Ahipara,NZ,2022-07-25 23:21:36,-35.1667,173.1667,56.46,87,81,22.75
52,Nanortalik,GL,2022-07-25 23:21:36,60.1432,-45.2371,41.97,97,100,5.55
53,Alexandria,EG,2022-07-25 23:20:36,31.2156,29.9553,78.91,68,0,5.39
54,Prince Rupert,CA,2022-07-25 23:21:37,54.3161,-130.3201,66.29,85,75,14.97
55,Punta Arenas,CL,2022-07-25 23:21:37,-53.15,-70.9167,32.11,69,0,11.5
56,Ponferrada,ES,2022-07-25 23:21:37,42.5466,-6.5962,65.62,77,1,1.92
57,Vaini,TO,2022-07-25 23:21:38,-21.2,-175.2,78.96,83,20,9.22
58,Naze,JP,2022-07-25 23:21:38,28.3667,129.4833,83.32,77,7,2.28
59,Zhigansk,RU,2022-07-25 23:21:38,66.7697,123.3711,67.71,56,10,1.97
60,Benjamin Hill,MX,2022-07-25 23:21:39,30.1667,-111.1,87.24,47,77,9.93
61,Awjilah,LY,2022-07-25 23:21:39,29.1081,21.2869,87.24,21,0,18.45
62,Cabo San Lucas,MX,2022-07-25 23:17:26,22.8909,-109.9124,92.5,61,0,13.8
63,Clyde River,CA,2022-07-25 23:21:39,70.4692,-68.5914,41.23,93,100,6.91
64,Itaituba,BR,2022-07-25 23:21:40,-4.2761,-55.9836,87.96,62,20,0.0
65,Sao Joao Da Barra,BR,2022-07-25 23:21:40,-21.6403,-41.0511,71.31,83,2,12.53
66,Port Lincoln,AU,2022-07-25 23:21:40,-34.7333,135.8667,53.11,68,9,9.66
67,Saskylakh,RU,2022-07-25 23:21:41,71.9167,114.0833,70.79,65,82,6.62
68,Kruisfontein,ZA,2022-07-25 23:21:41,-34.0033,24.7314,46.89,79,0,5.88
69,Khandyga,RU,2022-07-25 23:21:41,62.6667,135.6,67.44,60,25,2.71
70,Egvekinot,RU,2022-07-25 23:21:42,66.3167,-179.1667,42.06,59,94,11.45
71,Gediz,TR,2022-07-25 23:18:36,39.0417,29.41,64.53,53,0,6.78
72,Puerto Lleras,CO,2022-07-25 23:21:42,3.0223,-73.4044,73.9,94,72,2.26
73,Funadhoo,MV,2022-07-25 23:21:42,6.15,73.2667,81.73,79,98,16.71
74,Dikson,RU,2022-07-25 23:21:43,73.5069,80.5464,42.51,97,99,20.33
75,Halifax,CA,2022-07-25 23:19:58,44.6453,-63.5724,69.69,96,100,19.57
76,Kapaa,US,2022-07-25 23:21:43,22.0752,-159.319,84.18,66,100,16.11
77,Guerrero Negro,MX,2022-07-25 23:21:43,27.9769,-114.0611,77.88,59,0,16.37
78,Airai,TL,2022-07-25 23:21:44,-8.9266,125.4092,58.39,66,26,3.13
79,Ilulissat,GL,2022-07-25 23:21:44,69.2167,-51.1,46.42,87,75,4.61
80,Yellowknife,CA,2022-07-25 23:21:44,62.456,-114.3525,72.12,37,40,16.11
81,Upernavik,GL,2022-07-25 23:21:45,72.7868,-56.1549,39.51,90,45,11.68
82,Port Alfred,ZA,2022-07-25 23:17:17,-33.5906,26.891,52.18,83,0,1.99
83,Parry Sound,CA,2022-07-25 23:21:45,45.3501,-80.033,66.25,68,7,10.47
84,Bousso,TD,2022-07-25 23:21:45,10.4795,16.7117,77.76,75,90,4.83
85,Victoria,HK,2022-07-25 23:19:20,22.2855,114.1577,87.85,77,85,8.01
86,Port Elizabeth,ZA,2022-07-25 23:18:49,-33.918,25.5701,57.49,78,0,13.8
87,Georgetown,MY,2022-07-25 23:20:20,5.4112,100.3354,78.73,93,20,3.44
88,Gornopravdinsk,RU,2022-07-25 23:21:46,60.05,69.9,60.15,97,84,3.18
89,Lawton,US,2022-07-25 23:16:52,34.6087,-98.3903,105.71,24,75,14.97
90,Saint-Philippe,RE,2022-07-25 23:21:46,-21.3585,55.7679,65.21,80,37,7.16
91,Talnakh,RU,2022-07-25 23:21:47,69.4865,88.3972,54.21,81,82,4.5
92,Konjic,BA,2022-07-25 23:22:47,43.6519,17.9614,76.08,52,0,2.1
93,Pak Phanang,TH,2022-07-25 23:22:47,8.3511,100.202,78.82,85,82,2.98
94,Sao Jose Da Coroa Grande,BR,2022-07-25 23:22:48,-8.8978,-35.1478,73.51,82,22,10.6
95,Tianpeng,CN,2022-07-25 23:22:48,30.9866,103.9393,77.47,76,1,3.56
96,Yar-Sale,RU,2022-07-25 23:22:48,66.8333,70.8333,46.54,87,53,15.23
97,New Norfolk,AU,2022-07-25 23:22:48,-42.7826,147.0587,52.92,87,99,0.74
98,Los Llanos De Aridane,ES,2022-07-25 23:22:49,28.6585,-17.9182,71.35,83,0,13.8
99,Qaanaaq,GL,2022-07-25 23:22:18,77.484,-69.3632,43.7,68,2,1.41
100,Vardo,NO,2022-07-25 23:22:49,70.3705,31.1107,53.58,87,100,9.22
101,Kwinana,AU,2022-07-25 23:22:50,-32.25,115.7667,57.34,71,99,5.01
102,Mar Del Plata,AR,2022-07-25 23:22:21,-38.0023,-57.5575,55.09,95,100,15.99
103,Esperance,AU,2022-07-25 23:22:22,-33.8667,121.9,50.94,57,52,18.92
104,Tura,IN,2022-07-25 23:22:50,25.5198,90.2201,73.04,98,100,3.18
105,Chernyshevskiy,RU,2022-07-25 23:22:51,63.0128,112.4714,70.36,89,61,7.05
106,Port Augusta,AU,2022-07-25 23:19:31,-32.5,137.7667,48.74,73,0,3.96
107,Khatanga,RU,2022-07-25 23:22:51,71.9667,102.5,69.75,46,15,5.03
108,Probolinggo,ID,2022-07-25 23:22:51,-7.7543,113.2159,71.13,72,86,6.4
109,Rawson,AR,2022-07-25 23:20:52,-43.3002,-65.1023,44.94,94,100,10.29
110,Haradok,BY,2022-07-25 23:22:52,55.4624,29.9816,59.23,94,17,4.41
111,Port Macquarie,AU,2022-07-25 23:22:52,-31.4333,152.9167,57.88,66,4,6.6
112,Shiyan,CN,2022-07-25 23:22:52,32.6475,110.7781,76.96,81,0,1.43
113,Bethel,US,2022-07-25 23:22:53,41.3712,-73.414,85.05,82,0,6.91
114,Rockland,US,2022-07-25 23:20:35,41.1668,-74.0496,87.58,67,56,1.01
115,Harper,LR,2022-07-25 23:22:53,4.375,-7.7169,73.38,78,23,6.15
116,Presidencia Roque Saenz Pena,AR,2022-07-25 23:22:53,-26.7852,-60.4388,79.59,44,6,6.55
117,Torbay,CA,2022-07-25 23:22:54,47.6666,-52.7314,70.75,91,75,19.57
118,Taltal,CL,2022-07-25 23:20:20,-25.4,-70.4833,58.51,83,26,4.97
119,Cayhagan,PH,2022-07-25 23:22:54,9.6697,122.4256,80.4,81,98,4.43
120,Bluff,NZ,2022-07-25 23:22:54,-46.6,168.3333,45.81,90,100,26.96
121,Itarema,BR,2022-07-25 23:22:55,-2.9248,-39.9167,78.4,75,55,15.97
122,Walvis Bay,NA,2022-07-25 23:22:55,-22.9575,14.5053,54.09,93,56,3.44
123,Carauari,BR,2022-07-25 23:22:55,-4.8828,-66.8958,79.16,74,63,2.37
124,Katsuura,JP,2022-07-25 23:22:56,35.1333,140.3,80.62,87,96,18.72
125,Petropavlovsk-Kamchatskiy,RU,2022-07-25 23:22:56,53.0452,158.6483,57.79,77,75,2.24
126,Butaritari,KI,2022-07-25 23:22:56,3.0707,172.7902,82.65,69,93,18.32
127,Paka,MY,2022-07-25 23:22:56,4.6374,103.4368,75.13,94,20,0.0
128,Longyearbyen,SJ,2022-07-25 23:22:57,78.2186,15.6401,48.04,81,75,12.66
129,Westport,US,2022-07-25 23:18:31,41.1415,-73.3579,86.11,89,0,11.01
130,North Bend,US,2022-07-25 23:22:57,43.4065,-124.2243,86.23,81,0,18.41
131,Cayenne,GF,2022-07-25 23:22:58,4.9333,-52.3333,83.08,1,0,3.44
132,Ushuaia,AR,2022-07-25 23:17:29,-54.8,-68.3,33.46,80,40,25.32
133,Salalah,OM,2022-07-25 23:22:58,17.0151,54.0924,76.1,97,100,8.41
134,Heihe,CN,2022-07-25 23:22:58,50.2441,127.4902,73.98,62,0,2.91
135,Mitchell,US,2022-07-25 23:20:06,43.7094,-98.0298,80.11,60,40,14.97
136,Hermanus,ZA,2022-07-25 23:22:17,-34.4187,19.2345,49.8,58,0,8.48
137,Kaitangata,NZ,2022-07-25 23:23:59,-46.2817,169.8464,45.59,93,100,17.4
138,Paamiut,GL,2022-07-25 23:23:59,61.994,-49.6678,44.71,88,49,3.94
139,Hasaki,JP,2022-07-25 23:23:59,35.7333,140.8333,79.2,83,65,17.36
140,Qasigiannguit,GL,2022-07-25 23:24:00,68.8193,-51.1922,46.65,96,100,3.4
141,Bilibino,RU,2022-07-25 23:24:00,68.0546,166.4372,52.45,46,28,7.67
142,Yokadouma,CM,2022-07-25 23:24:00,3.5167,15.05,68.7,99,100,2.39
143,Kaolinovo,BG,2022-07-25 23:24:01,43.6167,27.1167,66.78,77,2,4.68
144,Reconquista,AR,2022-07-25 23:23:20,-29.15,-59.65,70.09,77,4,8.52
145,Miri,MY,2022-07-25 23:21:59,4.4148,114.0089,75.34,94,40,4.61
146,Muroto,JP,2022-07-25 23:24:01,33.2833,134.15,80.87,77,80,3.0
147,Juigalpa,NI,2022-07-25 23:24:01,12.1063,-85.3645,80.51,89,40,6.91
148,Port Pirie,AU,2022-07-25 23:24:02,-33.1833,138.0167,50.97,78,5,5.37
149,Bathsheba,BB,2022-07-25 23:24:02,13.2167,-59.5167,81.21,93,40,12.66
150,Puerto Ayora,EC,2022-07-25 23:22:22,-0.7393,-90.3518,70.56,91,86,5.99
151,Vila Velha,BR,2022-07-25 23:24:02,-20.3297,-40.2925,71.55,88,20,4.61
152,Valparaiso,CL,2022-07-25 23:22:13,-33.0393,-71.6273,54.48,92,75,6.91
153,Zemio,CF,2022-07-25 23:24:03,5.0314,25.1361,68.43,95,95,1.57
154,Sao Joao Do Paraiso,BR,2022-07-25 23:24:03,-15.3136,-42.0144,61.03,69,79,5.37
155,Komsomolskiy,UZ,2022-07-25 23:24:04,40.4272,71.7189,79.52,34,0,6.91
156,Chiredzi,ZW,2022-07-25 23:24:04,-21.05,31.6667,55.65,84,43,3.06
157,Dicabisagan,PH,2022-07-25 23:24:04,17.0818,122.4157,80.53,84,100,2.89
158,Fort Nelson,CA,2022-07-25 23:24:05,58.8053,-122.7002,74.79,41,75,6.91
159,Lodja,CD,2022-07-25 23:24:05,-3.4833,23.4333,77.4,50,88,1.97
160,Atuona,PF,2022-07-25 23:24:04,-9.8,-139.0333,77.45,68,26,10.78
161,Sangar,RU,2022-07-25 23:24:05,63.9242,127.4739,71.42,62,27,7.78
162,Bara,NG,2022-07-25 23:22:11,10.3744,10.7288,74.62,89,84,12.03
163,Umm Lajj,SA,2022-07-25 23:24:06,25.0213,37.2685,84.63,65,25,5.3
164,Mitu,CO,2022-07-25 23:24:06,1.1983,-70.1733,72.37,95,90,1.57
165,Deer Lake,CA,2022-07-25 23:24:06,49.1667,-57.4316,73.26,83,75,5.75
166,Geraldton,AU,2022-07-25 23:24:01,-28.7667,114.6,43.21,81,7,13.8
167,Kieta,PG,2022-07-25 23:24:07,-6.2167,155.6333,81.5,76,77,3.29
168,Beawar,IN,2022-07-25 23:24:48,26.1,74.3167,75.96,93,100,11.52
169,Hithadhoo,MV,2022-07-25 23:22:23,-0.6,73.0833,81.95,74,14,8.93
170,Okitipupa,NG,2022-07-25 23:24:48,6.5047,4.7839,73.54,96,100,2.08
171,La Mana,EC,2022-07-25 23:24:49,-0.9333,-79.2167,76.64,77,87,3.85
172,Bengkulu,ID,2022-07-25 23:24:49,-3.8004,102.2655,72.64,85,100,3.51
173,Huntsville,US,2022-07-25 23:21:53,34.7304,-86.5861,91.2,66,75,10.36
174,Jumla,NP,2022-07-25 23:24:49,29.2747,82.1838,60.53,97,98,1.43
175,Makakilo City,US,2022-07-25 23:24:50,21.3469,-158.0858,86.32,50,75,16.11
176,Nayudupeta,IN,2022-07-25 23:24:50,13.9,79.9,81.5,72,95,5.55
177,Shimoda,JP,2022-07-25 23:24:50,34.6667,138.95,82.76,91,100,10.33
178,Pevek,RU,2022-07-25 23:24:50,69.7008,170.3133,37.45,77,91,10.38
179,The Valley,AI,2022-07-25 23:24:51,18.217,-63.0578,84.06,83,20,13.8
180,Nyuksenitsa,RU,2022-07-25 23:25:51,60.4128,44.2397,56.03,95,69,5.06
181,Griffith,US,2022-07-25 23:25:52,41.5284,-87.4237,75.27,68,0,8.05
182,Port Hardy,CA,2022-07-25 23:25:52,50.6996,-127.4199,71.78,68,20,12.66
183,Keuruu,FI,2022-07-25 23:25:52,62.2667,24.7,64.8,84,100,8.57
184,Sur,OM,2022-07-25 23:23:50,22.5667,59.5289,82.72,77,100,10.13
185,Cap Malheureux,MU,2022-07-25 23:25:53,-19.9842,57.6142,66.47,78,7,4.0
186,East London,ZA,2022-07-25 23:22:19,-33.0153,27.9116,55.58,69,0,11.72
187,Touros,BR,2022-07-25 23:25:53,-5.1989,-35.4608,74.35,74,68,15.46
188,Turukhansk,RU,2022-07-25 23:25:53,65.8167,87.9833,55.51,88,93,3.71
189,Grindavik,IS,2022-07-25 23:25:54,63.8424,-22.4338,51.75,87,75,5.75
190,San Patricio,US,2022-07-25 23:25:54,28.017,-97.5169,93.92,50,5,17.83
191,Alta Floresta,BR,2022-07-25 23:25:54,-9.8756,-56.0861,79.38,34,33,3.6
192,Acapulco,MX,2022-07-25 23:25:54,16.8634,-99.8901,85.82,66,40,9.22
193,Coahuayana,MX,2022-07-25 23:25:55,18.7333,-103.6833,83.34,75,100,3.29
194,Oeiras Do Para,BR,2022-07-25 23:25:55,-2.0031,-49.8544,78.64,72,80,1.5
195,Namtsy,RU,2022-07-25 23:25:55,62.7161,129.6658,71.51,60,80,8.43
196,Leua,SK,2022-07-25 23:25:56,48.2156,18.6071,75.49,37,38,4.45
197,Berdigestyakh,RU,2022-07-25 23:25:56,62.0989,126.6992,73.71,62,76,6.24
198,Baruun-Urt,MN,2022-07-25 23:25:56,46.6806,113.2792,63.66,74,100,4.97
199,Oytal,KZ,2022-07-25 23:25:57,42.9057,73.2697,75.18,29,0,2.48
200,Villa Bruzual,VE,2022-07-25 23:25:57,9.3328,-69.1208,74.48,93,45,3.38
201,Klaksvik,FO,2022-07-25 23:25:57,62.2266,-6.589,47.32,85,39,12.5
202,Asilah,MA,2022-07-25 23:25:58,35.465,-6.0348,84.16,49,0,3.31
203,Poum,NC,2022-07-25 23:22:20,-20.2333,164.0167,73.51,71,0,14.5
204,Cortland,US,2022-07-25 23:23:40,42.6001,-76.083,76.41,67,0,5.75
205,Arraial Do Cabo,BR,2022-07-25 23:25:58,-22.9661,-42.0278,71.56,78,0,13.8
206,Suntar,RU,2022-07-25 23:25:58,62.1444,117.6319,77.52,67,4,4.94
207,Yeppoon,AU,2022-07-25 23:25:59,-23.1333,150.7333,58.78,81,0,2.08
208,Waipawa,NZ,2022-07-25 23:25:59,-41.4122,175.5153,52.65,96,100,12.93
209,La Asuncion,VE,2022-07-25 23:25:59,11.0333,-63.8628,83.93,65,82,13.8
210,Petatlan,MX,2022-07-25 23:26:00,17.5167,-101.2667,89.4,68,99,4.47
211,Ambon,ID,2022-07-25 23:26:00,-3.6954,128.1814,75.34,100,75,3.44
212,Portland,US,2022-07-25 23:24:01,45.5234,-122.6762,102.49,34,0,10.36
213,Saint-Leu,RE,2022-07-25 23:26:01,-21.15,55.2833,68.83,75,66,4.25
214,Pandan,PH,2022-07-25 23:26:01,14.0453,124.1694,81.77,78,99,3.85
215,Grand Gaube,MU,2022-07-25 23:26:01,-20.0064,57.6608,68.4,78,7,4.0
216,Guanica,PR,2022-07-25 23:26:01,17.9716,-66.908,86.05,77,99,15.59
217,Jasper,US,2022-07-25 23:26:02,37.2001,-94.3502,102.25,33,40,14.97
218,Sardarshahr,IN,2022-07-25 23:26:02,28.4333,74.4833,84.87,71,63,9.1
219,Tuktoyaktuk,CA,2022-07-25 23:26:02,69.4541,-133.0374,60.8,72,40,16.11
220,Labuhan,ID,2022-07-25 23:26:03,-6.8844,112.2051,71.53,83,42,7.52
221,Port Moresby,PG,2022-07-25 23:22:05,-9.4431,147.1797,81.82,78,20,11.5
222,Goderich,CA,2022-07-25 23:26:03,43.7501,-81.7165,69.91,56,0,3.44
223,Narsaq,GL,2022-07-25 23:26:04,60.9167,-46.05,53.82,90,100,3.78
224,Ust-Uda,RU,2022-07-25 23:26:04,54.1742,103.0304,53.33,95,100,14.45
225,Garowe,SO,2022-07-25 23:26:04,8.4054,48.4845,74.37,63,84,29.08
226,Vredendal,ZA,2022-07-25 23:27:04,-31.6683,18.5012,58.91,31,0,10.13
227,Talgar,KZ,2022-07-25 23:27:05,43.3027,77.2395,62.76,52,1,4.47
228,Ankazoabo,MG,2022-07-25 23:27:05,-22.2833,44.5167,64.53,70,61,10.27
229,Xai-Xai,MZ,2022-07-25 23:27:05,-25.0519,33.6442,62.2,66,3,5.17
230,Dudinka,RU,2022-07-25 23:27:06,69.4058,86.1778,54.63,86,100,9.13
231,Maralal,KE,2022-07-25 23:27:06,1.0968,36.698,58.75,69,87,5.5
232,San Nicolas,PH,2022-07-25 23:27:06,18.1725,120.5953,80.51,94,40,4.61
233,Mabaruma,GY,2022-07-25 23:27:07,8.2,-59.7833,74.68,88,89,3.29
234,Hinton,CA,2022-07-25 23:27:07,53.4001,-117.5857,66.43,66,96,1.83
235,Astana,KZ,2022-07-25 23:27:07,51.1801,71.446,57.15,77,0,4.47
236,Haga,NL,2022-07-25 23:27:08,52.0767,4.2986,68.95,78,40,11.5
237,Dalaba,GN,2022-07-25 23:27:08,10.7,-12.25,62.22,99,100,2.84
238,Maniitsoq,GL,2022-07-25 23:27:08,65.4167,-52.9,41.23,93,96,14.2
239,Sarangani,PH,2022-07-25 23:27:09,5.4033,125.4636,82.18,76,98,5.23
240,Charters Towers,AU,2022-07-25 23:27:09,-20.1,146.2667,63.88,73,0,4.83
241,Port-Gentil,GA,2022-07-25 23:22:16,-0.7193,8.7815,75.16,83,100,12.66
242,Nikolskoye,RU,2022-07-25 23:25:46,59.7035,30.7861,62.8,93,70,2.91
243,Kindersley,CA,2022-07-25 23:27:09,51.4668,-109.1682,68.02,68,75,8.05
244,Yuci,CN,2022-07-25 23:27:10,37.6803,112.7319,69.55,68,0,8.95
245,Comodoro Rivadavia,AR,2022-07-25 23:26:40,-45.8667,-67.5,40.86,81,75,3.44
246,Kupang,ID,2022-07-25 23:27:10,-10.1667,123.5833,72.12,79,34,6.42
247,Hurghada,EG,2022-07-25 23:27:10,27.2574,33.8129,84.69,35,0,3.33
248,Nome,US,2022-07-25 23:22:23,64.5011,-165.4064,53.67,94,100,12.66
249,Prescott,US,2022-07-25 23:26:37,34.54,-112.4685,81.05,75,75,3.44
250,Ha Tinh,VN,2022-07-25 23:27:11,18.3333,105.9,75.52,89,59,3.0
251,Santa Maria,BR,2022-07-25 23:27:11,-29.6842,-53.8069,69.1,100,0,4.61
252,Solnechnyy,RU,2022-07-25 23:27:11,50.7214,136.6319,60.91,94,94,4.99
253,Algiers,DZ,2022-07-25 23:23:57,36.7525,3.042,73.22,83,20,3.44
254,Saldanha,ZA,2022-07-25 23:24:03,-33.0117,17.9442,51.85,55,1,8.57
255,Buraydah,SA,2022-07-25 23:27:12,26.326,43.975,95.45,17,51,6.4
256,Aginskoye,RU,2022-07-25 23:27:12,51.1,114.53,61.02,96,100,4.41
257,Ostrovnoy,RU,2022-07-25 23:27:13,68.0531,39.5131,51.22,85,36,9.73
258,Moerai,PF,2022-07-25 23:27:13,-22.4333,-151.3333,69.67,63,79,14.45
259,Vila Franca Do Campo,PT,2022-07-25 23:27:13,37.7167,-25.4333,72.01,91,42,3.11
260,Dingle,PH,2022-07-25 23:22:20,10.9995,122.6711,78.35,88,90,1.97
261,Severo-Kurilsk,RU,2022-07-25 23:27:14,50.6789,156.125,53.42,85,100,10.2
262,Husavik,IS,2022-07-25 23:26:54,66.0449,-17.3389,48.51,83,100,1.5
263,Mahebourg,MU,2022-07-25 23:22:18,-20.4081,57.7,68.29,88,40,10.36
264,Sa Kaeo,TH,2022-07-25 23:27:15,13.75,102.3333,74.64,94,46,5.88
265,Lazaro Cardenas,MX,2022-07-25 23:27:15,17.9583,-102.2,82.87,74,100,8.25
266,Barahona,DO,2022-07-25 23:27:16,18.2085,-71.1008,84.02,84,75,6.91
267,Bubaque,GW,2022-07-25 23:27:16,11.2833,-15.8333,77.74,84,100,9.33
268,Ust-Charyshskaya Pristan,RU,2022-07-25 23:27:16,52.3934,83.6635,53.06,87,13,3.24
269,Penzance,GB,2022-07-25 23:27:17,50.1186,-5.5371,59.68,68,74,11.27
270,Cherskiy,RU,2022-07-25 23:27:17,68.75,161.3,53.29,44,90,8.95
271,Wajir,KE,2022-07-25 23:27:17,1.7471,40.0573,72.28,65,24,16.35
272,Lorengau,PG,2022-07-25 23:24:05,-2.0226,147.2712,81.59,80,91,8.43
273,Elk Point,US,2022-07-25 23:28:18,42.6833,-96.6836,71.89,42,96,12.5
274,Prince George,CA,2022-07-25 23:28:18,53.9166,-122.753,77.25,57,75,1.99
275,Leh,IN,2022-07-25 23:25:45,34.1667,77.5833,62.69,60,70,2.55
276,Alihe,CN,2022-07-25 23:28:18,50.5667,123.7167,69.58,83,10,3.11
277,Codrington,AU,2022-07-25 23:28:08,-38.2667,141.9667,50.38,64,92,20.87
278,Zubtsov,RU,2022-07-25 23:28:19,56.1753,34.5894,58.57,97,41,4.74
279,Ibipeba,BR,2022-07-25 23:28:19,-11.6408,-42.0111,68.4,58,99,7.63
280,Rakitnoye,RU,2022-07-25 23:28:19,50.8389,35.8515,58.8,98,56,6.49
281,Jinchang,CN,2022-07-25 23:28:20,38.4953,102.1739,72.27,41,99,3.36
282,Pisco,PE,2022-07-25 23:22:24,-13.7,-76.2167,62.65,82,40,10.36
283,Okhotsk,RU,2022-07-25 23:28:20,59.3833,143.3,60.57,76,44,5.41
284,Palmer,US,2022-07-25 23:28:20,42.1584,-72.3287,82.65,69,75,1.01
285,Ouadda,CF,2022-07-25 23:28:21,8.0777,22.4007,68.16,96,86,1.54
286,Coquimbo,CL,2022-07-25 23:28:21,-29.9533,-71.3436,53.33,82,20,5.75
